GEOID,County_Name,NOAA_CDD_Recent5yr,NOAA_CDD_Trend_perDecade,NOAA_Tmax_Summer_Recent5yr_F,NOAA_Tmax_Summer_Trend_perDecade_F,NOAA_Heat_Data_Recent_Year,HWAV_AFREQ,HWAV_RISKS,HWAV_RISKR,HWAV_EALT,HWAV_EALR,HWAV_ALR_NPCTL,SOVI_SCORE,RESL_SCORE,EAL_SCORE,NOAA_Tmax_Trend_Positive,Heat_Climate_Stress_Index,Heat_Climate_Data_Coverage_Pct,Heat_Climate_Source
17167,Sangamon County,1153.2,-58.25,85.2,-1.004,2024,8.263157894736803,96.2106615285806,Relatively Moderate,8258371.403631877,Relatively Moderate,10.462211118051219,32.02926209,92.20737913486005,91.89356435643565,0.0,51.6,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17169,Schuyler County,1131.6,1.321,84.48,-0.839,2024,7.421052631578954,55.10597302504817,Relatively Low,375845.76164875325,Relatively Low,28.856964397251716,71.5648855,63.104325699745544,8.694306930693068,0.0,36.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17171,Scott County,1180.8,-58.179,85.46,-1.061,2024,8.368421052631582,35.131663455362876,Very Low,277174.53329376905,Relatively Low,7.370393504059962,10.62340967,82.76081424936386,7.209158415841584,0.0,25.5,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17173,Shelby County,1142.6,-85.5,84.9,-1.421,2024,7.736842105263161,56.32626846499679,Relatively Low,583846.4799787044,Relatively Low,11.242973141786383,21.02417303,81.64758269720102,59.931930693069305,0.0,33.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17175,Stark County,965.2,-18.607,83.76,-0.668,2024,6.368421052631582,22.60757867694284,Very Low,91710.70752973527,Very Low,9.24422236102436,20.22900763,83.23791348600508,11.138613861386139,0.0,10.9,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17177,Stephenson County,775.0,-33.464,82.44,-0.529,2024,4.736842105263148,63.712267180475266,Relatively Low,610047.2040700765,Relatively Low,47.68894440974391,56.67938931,68.60687022900763,71.47277227722772,0.0,31.3,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17179,Tazewell County,1150.8,2.5,85.26,-0.439,2024,6.578947368389206,86.06294155427103,Relatively Moderate,2545219.8547816067,Relatively Moderate,4.80949406620862,23.21882952,94.49745547073792,86.10767326732673,0.0,45.7,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17181,Union County,1452.4,-76.643,86.92,-1.925,2024,10.631578947368437,84.13615928066795,Relatively Moderate,1562119.1466660413,Relatively Moderate,13.616489693941286,68.543257,56.45674300254453,50.15470297029702,0.0,58.9,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17183,Vermilion County,979.8,-80.464,83.98,-1.3,2024,6.421052631578927,79.09441233140655,Relatively Moderate,1181708.793900566,Relatively Low,69.3004372267333,70.19720102,86.99109414758269,74.5049504950495,0.0,53.0,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17185,Wabash County,1375.2,-96.143,86.26,-1.871,2024,9.10526315789473,54.495825305073865,Relatively Low,418281.46108909074,Relatively Low,5.590256089943786,52.60814249,56.234096692111954,24.78341584158416,0.0,40.2,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
