"FID","Data_Year","eGRID_subregion_acronym","Plant_annual_net_generation__MW","Plant_annual_CO2_emissions__ton","Plant_annual_coal_net_generatio","Plant_annual_oil_net_generation","Plant_annual_gas_net_generation","Plant_annual_other_fossil_net_g","Plant_annual_nuclear_net_genera","Plant_annual_hydro_net_generati","Plant_annual_biomass_net_genera","Plant_annual_wind_net_generatio","Plant_annual_solar_net_generati"
"6930","2023","MROW","1992",,"0","0","0","0","0","0","0","0","1992"
"6931","2023","SRMW","36142",,"0","0","0","0","0","36142","0","0","0"
"6932","2023","MROW","30067","18060.22","23697.38","453.704","5915.915","0","0","0","0","0","0"
"6933","2023","SRVC","7782",,"0","0","0","0","0","0","0","0","7782"
"6934","2023","SRTV","21049",,"0","0","0","0","0","21049","0","0","0"
"6935","2023","MROW","4768",,"0","0","0","0","0","0","0","4768","0"
"6936","2023","SRMW","578996",,"0","0","0","0","0","0","0","578996","0"
"6937","2023","MROW","2216",,"0","0","0","0","0","0","0","0","2216"
"6938","2023","MROW","294054",,"0","0","0","0","0","0","0","294054","0"
"6939","2023","MROW","3412",,"0","0","0","0","0","0","0","0","3412"
"6940","2023","SRVC","9236",,"0","0","0","0","0","0","0","0","9236"
"6941","2023","MROW","2700",,"0","0","0","0","0","0","0","2700","0"
